epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0514,1.74359,3.66433,4.42626,1.75327,0.18424,0.20474,0.14829,0.06872,0.15946,0.18274,0.1245,0.03995,1.65518,3.45302,3.29831,1.5234,0.000413625,0.000413625,0.000413625
2,43.5917,1.78174,3.57236,3.64087,1.7443,0.71402,0.14743,0.14965,0.0884,0.71294,0.14743,0.14397,0.06909,1.75084,3.47234,2.86672,1.66119,0.000826182,0.000826182,0.000826182
3,63.7946,1.72494,3.45111,3.12477,1.69776,0.79079,0.10115,0.1289,0.05971,0.76086,0.11196,0.10035,0.04318,1.79789,3.46489,3.36268,1.73605,0.00123461,0.00123461,0.00123461
4,84.6282,1.95014,3.66824,3.21028,1.84575,0.44817,0.12376,0.089,0.02932,0.38998,0.21282,0.04207,0.01517,2.04924,4.30131,3.10627,1.93088,0.00123144,0.00123144,0.00123144
5,106.214,1.993,3.5637,3.1249,1.96213,0.56084,0.19053,0.15381,0.06478,0.51271,0.14496,0.12091,0.04922,2.03872,4.04656,2.8171,2.03972,0.00122525,0.00122525,0.00122525
6,128.15,1.97194,3.55115,2.74387,1.96105,0.3933,0.29339,0.08105,0.03276,0.38296,0.27627,0.06333,0.02801,1.92899,3.21029,7.59504,1.96487,0.00121906,0.00121906,0.00121906
7,148.461,1.9207,3.50546,2.72739,1.85493,0.47421,0.13208,0.09979,0.04487,0.44065,0.13216,0.07736,0.02954,2.052,4.07888,3.69129,1.93248,0.00121287,0.00121287,0.00121287
8,168.209,1.88821,3.52087,2.62648,1.84752,0.40726,0.35005,0.10091,0.03535,0.40585,0.27866,0.07865,0.02609,2.00662,3.43998,4.13508,1.91313,0.00120669,0.00120669,0.00120669
9,187.969,1.9169,3.5074,2.61261,1.90725,0.5927,0.17526,0.1906,0.08454,0.54473,0.15506,0.14958,0.05145,1.97901,4.27807,2.69884,2.00816,0.0012005,0.0012005,0.0012005
10,207.838,1.87378,3.22914,2.57342,1.80521,0.43503,0.30168,0.08057,0.0331,0.42423,0.22808,0.07301,0.03014,1.89536,3.27422,3.81873,2.0032,0.00119431,0.00119431,0.00119431
11,228.199,1.83969,3.18149,2.44895,1.81017,0.4636,0.20308,0.13136,0.05615,0.42089,0.22315,0.0821,0.03812,1.76498,3.46136,3.27687,1.74692,0.00118812,0.00118812,0.00118812
12,248.424,1.74854,3.08292,2.42663,1.77797,0.52641,0.20526,0.15169,0.08429,0.51012,0.20147,0.11854,0.05381,1.74969,3.25555,3.11497,1.73046,0.00118194,0.00118194,0.00118194
13,268.164,1.79058,3.05227,2.37095,1.75116,0.45463,0.36042,0.17872,0.07942,0.44238,0.28884,0.14004,0.04736,1.81209,3.30045,3.8445,1.7501,0.00117575,0.00117575,0.00117575
14,287.453,1.69907,3.10203,2.2418,1.70354,0.49475,0.2762,0.15411,0.05477,0.46526,0.19531,0.10602,0.03747,1.9663,3.28536,2.67087,1.97144,0.00116956,0.00116956,0.00116956
15,307.978,1.7589,3.04655,2.30856,1.75335,0.5244,0.35679,0.20824,0.08907,0.49857,0.31683,0.16479,0.06866,1.86588,3.13887,2.83635,1.90758,0.00116337,0.00116337,0.00116337
16,328.28,1.76964,3.07058,2.15706,1.7412,0.5068,0.3495,0.21912,0.11093,0.49551,0.29257,0.15289,0.06493,1.82953,3.24893,3.08926,1.83922,0.00115719,0.00115719,0.00115719
17,347.978,1.67082,2.9571,2.1572,1.71331,0.51836,0.36306,0.24162,0.1083,0.50407,0.29991,0.18411,0.07686,1.73221,3.0449,2.78722,1.78948,0.001151,0.001151,0.001151
18,367.514,1.57767,2.86637,2.09131,1.63675,0.6613,0.2836,0.31594,0.16623,0.65529,0.25839,0.24509,0.10452,1.74771,3.19025,2.44569,1.73334,0.00114481,0.00114481,0.00114481
19,387.839,1.59888,2.82785,2.13115,1.64665,0.52259,0.39255,0.26141,0.12475,0.5092,0.34968,0.2395,0.10981,1.76272,3.08675,4.0162,1.77524,0.00113863,0.00113863,0.00113863
20,408.147,1.57129,2.84765,1.99879,1.59318,0.58677,0.34899,0.25481,0.1265,0.57254,0.27759,0.21508,0.09163,1.69464,3.14868,2.73497,1.68318,0.00113244,0.00113244,0.00113244
21,428.78,1.52129,2.86652,2.06175,1.56026,0.68472,0.33154,0.31146,0.15638,0.65578,0.29897,0.23978,0.1016,1.67204,2.93546,2.10176,1.70847,0.00112625,0.00112625,0.00112625
22,449.132,1.59509,2.73473,2.02531,1.5881,0.53396,0.35199,0.24425,0.12648,0.52856,0.25144,0.21202,0.09459,1.65754,2.93091,3.83971,1.76027,0.00112006,0.00112006,0.00112006
23,469.052,1.57958,2.81831,1.97684,1.62096,0.65128,0.3836,0.33522,0.18776,0.61488,0.32686,0.29936,0.14245,1.61035,2.9694,2.44356,1.64935,0.00111388,0.00111388,0.00111388
24,488.753,1.52871,2.80154,1.94787,1.6081,0.61801,0.34945,0.32734,0.18188,0.60625,0.31959,0.30884,0.13752,1.60855,2.96942,2.23376,1.65551,0.00110769,0.00110769,0.00110769
25,509.021,1.48486,2.69722,1.9367,1.58663,0.29439,0.59222,0.34539,0.18774,0.26336,0.53264,0.28911,0.11424,1.59108,2.86606,2.09859,1.59391,0.0011015,0.0011015,0.0011015
26,529.882,1.45719,2.80029,1.84415,1.58653,0.71225,0.30928,0.34593,0.19441,0.7149,0.25615,0.28088,0.13402,1.53733,3.22413,1.85292,1.57673,0.00109531,0.00109531,0.00109531
27,549.842,1.4944,2.76319,1.89636,1.57509,0.6238,0.33688,0.31074,0.16829,0.6403,0.275,0.28073,0.12464,1.59641,2.98856,1.97315,1.55681,0.00108913,0.00108913,0.00108913
28,569.305,1.4271,2.61864,1.76916,1.52608,0.63774,0.3951,0.38471,0.20194,0.6164,0.34205,0.34309,0.15638,1.60017,2.67561,2.3593,1.59889,0.00108294,0.00108294,0.00108294
29,588.885,1.42685,2.60913,1.81076,1.52198,0.6127,0.37736,0.33907,0.18348,0.57106,0.32749,0.28815,0.12784,1.60869,2.83081,2.24812,1.63173,0.00107675,0.00107675,0.00107675
30,609.17,1.44081,2.61705,1.78705,1.48045,0.57901,0.38499,0.35664,0.1898,0.54898,0.37505,0.30504,0.13839,1.57782,2.85785,2.26766,1.60746,0.00107056,0.00107056,0.00107056
31,629.715,1.45296,2.3723,1.72931,1.51291,0.25725,0.37868,0.29476,0.16539,0.23496,0.31589,0.24896,0.11462,1.55281,2.9235,2.44503,1.57799,0.00106437,0.00106437,0.00106437
